NAME,ETRS-X,ETRS-Y,ETRS-Z,STATION-P,STATION-Q,STATION-R,RCU-X,RCU-Y
L27,3183326.3991564917,1276758.4797548254,5359434.68312985,-19.8589472,-4.7787319,0.0,54,55
L28,3183333.7252921797,1276785.9791184634,5359423.855474246,6.8243648,-19.4459147,0.0,56,57
L29,3183335.6407889277,1276788.8774744084,5359422.039736138,9.4986106,-22.312081000000003,0.0,58,59
L30,3183340.114387257,1276780.009107136,5359421.498440332,0.067689,-25.4762142,0.0,60,61
L31,3183342.960650808,1276784.5256353393,5359418.750772664,4.251734099999999,-29.7824524,0.0,62,63
L32,3183302.6032773973,1276789.5221778518,5359441.378236354,14.135420499999999,15.6927923,0.0,64,65
L33,3183304.05069314,1276795.5202034097,5359439.105366095,19.9736343,12.667478800000001,0.0,66,67
L34,3183297.2193486392,1276802.2838034322,5359441.535574166,27.579303499999998,19.029338600000003,0.0,68,69
L35,3183295.189651203,1276796.65434433,5359444.064779763,22.1809108,22.6438536,0.0,70,71
L36,3183323.2981929346,1276781.3118891492,5359431.11123024,3.4049055,-6.3516136,0.0,72,73
L37,3183320.80564159,1276786.4779348099,5359431.359627807,8.8849521,-4.6394131,0.0,74,75
L38,3183326.2500139102,1276782.9770414731,5359428.97583293,4.7176860000000005,-10.136122599999998,0.0,76,77
L39,3183325.2757228944,1276786.5473101386,5359428.706018693,8.4145747,-9.816944,0.0,78,79
L40,3183301.9575464837,1276763.2143320169,5359447.982803053,-12.160294699999998,22.376756999999998,0.0,80,81
L41,3183298.484849432,1276772.669341229,5359447.794819892,-2.2621580000000003,24.252670499999997,0.0,82,83
L42,3183295.0840019695,1276765.1185946153,5359451.587473804,-9.4210317,29.8842146,0.0,84,85
L43,3183292.6189916027,1276775.3160207514,5359450.629357062,1.0996655,30.4289108,0.0,86,87
L44,3183324.859252138,1276774.9887533404,5359431.686112663,-3.1226163,-6.7269817,0.0,88,89
L45,3183328.007002929,1276776.2513915284,5359429.530345533,-2.2370234,-10.646885699999999,0.0,90,91
L46,3183325.9208947024,1276770.330602734,5359432.161751018,-7.9206615000000005,-6.901469800000001,0.0,92,93
L47,3183329.8125981227,1276772.4861430177,5359429.355844449,-6.229790599999999,-11.882009599999998,0.0,94,95
L48,3183315.3565927083,1276794.9087527792,5359432.579916892,17.9950504,-0.25010340000000003,0.0,96,97
L49,3183336.154138779,1276777.3034350458,5359424.474930019,-2.1664117000000003,-20.292343600000002,0.0,98,99
L50,3183313.6820925227,1276805.6623421141,5359431.023855139,28.9778201,-0.7437959000000001,0.0,100,101
L51,3183306.95082414,1276796.1154665768,5359437.253566183,20.2200905,9.1841585,0.0,102,103
L52,3183330.96654554,1276755.6351019812,5359432.661479684,-23.262401899999997,-9.410865099999999,0.0,104,105
L53,3183345.90112791,1276774.631785923,5359419.356563396,-6.0220564,-30.944723,0.0,106,107
L54,3183305.2234410075,1276803.4648263813,5359436.534037008,27.796495299999997,9.519947900000002,0.0,108,109
L55,3183318.0627219253,1276785.4284586636,5359433.226130814,8.1641567,-1.2351076,0.0,110,111
L56,3183303.262884868,1276756.4704256845,5359448.808093173,-19.078752800000004,22.391662899999996,0.0,112,113
L57,3183331.2304199236,1276762.3172815035,5359430.925009612,-16.5953652,-11.223902,0.0,114,115
L58,3183318.577171942,1276757.8276490686,5359439.452104401,-19.5678938,4.4009789,0.0,116,117
L59,3183339.3260046616,1276793.6221114867,5359418.7431516275,13.810001399999999,-27.638597200000003,0.0,118,119
L60,3183332.8618958,1276779.242098152,5359425.9586156625,0.17476429999999998,-16.9281949,0.0,120,121
L61,3183330.8301195865,1276766.0911979568,5359430.268383599,-12.7636493,-11.613513,0.0,122,123
L62,3183302.0500021838,1276773.4609820296,5359445.504222833,-1.8991582999999999,19.9570826,0.0,124,125
L63,3183312.8654377493,1276776.272402068,5359438.458387506,-0.3870604,6.833246099999999,0.0,126,127
L64,3183320.0561528723,1276791.9118844403,5359430.5162996175,14.4230346,-5.000503900000001,0.0,128,129
L65,3183316.6033361773,1276770.4580397296,5359437.628648488,-6.6674682,3.8293089,0.0,130,131
L66,3183331.726313837,1276792.9017257055,5359423.397133286,14.005753699999998,-18.700169900000002,0.0,132,133
L67,3183328.914773286,1276786.5343594905,5359426.5621655015,7.9620427,-14.016250699999997,0.0,134,135
L68,3183323.826918059,1276754.3299692275,5359437.182372203,-23.7084301,-0.8717094000000001,0.0,136,137
L69,3183321.779508999,1276752.2814353893,5359438.874892993,-25.514792899999996,1.9549591000000002,0.0,138,139
L70,3183320.4359526103,1276772.9996119102,5359434.766278267,-4.5824620000000005,-1.1701361000000001,0.0,140,141
L71,3183305.381568645,1276765.3158031886,5359445.4656036915,-10.4671386,17.9484815,0.0,142,143
L72,3183329.345284657,1276779.3459522459,5359428.00872894,0.7036383,-12.890795199999998,0.0,144,145
L73,3183309.4745372683,1276791.6649462357,5359436.817513475,15.4535967,7.2744627,0.0,146,147
L74,3183323.078555903,1276792.0853827863,5359428.6921395995,14.2319012,-8.5298168,0.0,148,149
L75,3183308.234489574,1276804.0145924243,5359434.627562662,27.983943100000005,5.9188142,0.0,150,151
L76,3183320.1824830426,1276767.9852739952,5359436.102051085,-9.5787382,0.2544146,0.0,152,153
L77,3183332.8636147473,1276774.2282298424,5359427.143724776,-4.8518645,-15.798431699999998,0.0,154,155
L78,3183309.4399611866,1276758.790733029,5359444.614915037,-17.498745,14.734874,0.0,156,157
L79,3183296.864421969,1276780.8372175954,5359446.818555259,6.1218938,24.2801933,0.0,158,159
L80,3183303.6999323233,1276778.1530635345,5359443.420821121,2.6053808,16.992695899999998,0.0,160,161
L81,3183313.324089144,1276798.7308665048,5359432.8748337375,22.0722327,1.2342094,0.0,162,163
L82,3183307.3219786,1276785.9126326116,5359439.44826656,9.946881900000001,11.058584100000001,0.0,164,165
L83,3183316.0654745153,1276774.0140343981,5359437.104732441,-3.0376041000000003,3.6477383000000003,0.0,166,167
L84,3183341.1831424953,1276771.469489498,5359422.888115228,-8.622400099999998,-24.7827772,0.0,168,169
L85,3183322.9342934033,1276777.953988957,5359432.120292046,0.0825526,-5.173439800000001,0.0,170,171
L86,3183332.825452875,1276802.1328193638,5359420.564892502,23.127197199999998,-22.053087,0.0,172,173
L87,3183329.008206672,1276794.5910293916,5359424.601088758,16.027598,-15.942724,0.0,174,175
L88,3183310.0643742215,1276775.5783718112,5359440.275106134,-0.7444970000000001,10.224461300000002,0.0,176,177
L89,3183291.424474627,1276785.9931726505,5359448.808204104,11.9478308,29.398206599999998,0.0,178,179
L90,3183314.5207745773,1276768.2878050255,5359439.370698679,-8.5915906,6.724040899999999,0.0,180,181
L91,3183333.7761970223,1276755.0573942086,5359431.140547592,-24.1809246,-12.524936099999998,0.0,182,183
L92,3183298.675794203,1276788.0974476694,5359444.032365142,13.1815111,20.5496881,0.0,184,185
L93,3183322.349552414,1276770.1342969218,5359434.315162198,-7.686088099999999,-2.7331156,0.0,186,187
L94,3183326.787538167,1276766.9494361333,5359432.450338087,-11.4149723,-7.139026100000001,0.0,188,189
L95,3183312.8414412146,1276789.2834932639,5359435.394530509,12.659504199999999,3.9240466,0.0,190,191
CLBA,3183318.573005227,1276777.3461724492,5359434.8370951,0.0,0.0,0.0,-1,-1
H0,3183227.155662513,1276813.4431983067,5359480.242672225,14.777999460416687,23.468345326041813,0.0,0,1
H1,3183230.1040434544,1276816.8179684721,5359477.704862715,17.80509356041668,19.30190772604182,0.0,2,3
